Hour,Electric Load (kW)
760,1232.733
761,1235.512
762,1245.354
763,913.64
764,905.609
765,738.101
766,698.493
767,584.998
768,589.484
769,582.673
770,585.48
771,586.992
772,588.693
773,721.536
774,723.643
775,1008.251
776,1153.101
777,1192.386
778,1228.88
779,1237.625
780,1239.872
781,1199.693
782,1234.765
783,1236.464
784,1237.941
785,1244.683
786,1260.842
787,933.293
788,923.421
789,753.83
790,712.533
791,600.937
792,601.945
793,589.148
794,590.758
795,592.259
796,594.054
797,729.039
798,728.345
799,1010.37
800,1153.233
801,1192.82
802,1229.425
803,1236.455
804,1237.623
805,1197.18
806,1231.83
807,1231.864
808,1232.838
809,1239.839
810,1255.262
811,925.995
812,918.077
813,748.05
814,708.002
815,599.434
816,604.116
817,594.98
818,594.585
819,592.226
820,590.027
821,621.997
822,626.264
823,723.327
824,847.935
825,844.535
826,958.703
827,963.879
828,964.701
829,934.272
830,928.562
831,930.428
832,843.397
833,853.19
834,822.028
835,773.552
836,769.385
837,637.213
838,640.33
839,609.04
840,608.766
841,579.576
842,579.402
843,579.096
844,578.94
845,610.761
846,613.638
847,709.585
848,693.364
849,760.758
850,748.249
851,757.534
852,760.117
853,760.193
854,753.488
855,753.983
856,754.502
857,729.086
858,686.28
859,642.5
860,635.055
861,603.552
862,603.36
863,570.986
864,572.549
865,577.37
866,577.033
867,576.153
868,575.182
869,710.212
870,712.012
871,997.478
872,1133.943
873,1175.169
874,1208.508
875,1217.124
876,1219.975
877,1179.768
878,1214.859
879,1220.676
880,1229.958
881,1240.005
882,1244.17
883,918.27
884,907.697
885,739.331
886,698.939
887,585.625
888,586.197
889,573.527
890,573.075
891,576.837
892,582.761
893,716.207
894,711.457
895,995.3
896,1132.691
897,1175.057
898,1209.202
899,1218.299
900,1223.048
901,1186.089
902,1228.212
903,1232.128
904,1234.162
905,1239.168
906,1243.427
907,916.24
908,907.653
909,740.235
910,702.242
911,588.913
912,589.269
913,576.914
914,577.112
915,577.194
916,577.212
917,711.992
918,712.777
919,998.129
920,1137.249
921,1181.06
922,1216.841
923,1227.64
924,1232.947
925,1194.497
926,1229.106
927,1227.134
928,1224.325
929,1228.743
930,1238.035
931,915.676
932,908.308
933,740.35
934,700.244
935,586.888
936,587.129
937,574.077
938,573.459
939,573.026
940,572.481
941,707.307
942,709.524
943,996.778
944,1134.801
945,1178.104
946,1215.05
947,1225.13
948,1227.253
949,1186.122
950,1220.848
951,1223.467
952,1228.933
953,1237.735
954,1244.41
955,915.981
956,908.136
957,740.288
958,700.363
959,587.517
960,588.46
961,576.02
962,575.119
963,573.84
964,573.007
965,710.345
966,711.403
967,997.486
968,1135.136
969,1177.406
970,1211.824
971,1220.906
972,1223.975
973,1184.642
974,1221.458
975,1230.417
976,1245.36
977,1256.551
978,1258.068
979,920.922
980,907.668
981,740.196
982,700.897
983,588.445
984,588.82
985,575.78
986,574.591
987,573.533
988,573.227
989,604.895
990,604.759
991,700.67
992,824.222
993,834.172
994,953.205
995,961.615
996,965.578
997,937.147
998,938.561
999,947.859
1000,866.244
1001,873.862
1002,834.328
1003,773.567
1004,759.287
1005,622.034
1006,620.899
1007,587.616
1008,588.466
1009,559.026
1010,558.875
1011,558.932
1012,559.021
1013,591.521
1014,590.717
1015,685.929
1016,672.093
1017,757.194
1018,749.931
1019,758.204
1020,760.668
1021,760.855
1022,756.378
1023,764.868
1024,775.812
1025,753.124
1026,704.005
1027,652.011
1028,638.065
1029,604.267
1030,603.101
1031,569.674
1032,570.293
1033,574.191
1034,573.691
1035,573.269
1036,572.853
1037,707.831
1038,709.215
1039,994.283
1040,1130.767
1041,1172.548
1042,1206.711
1043,1216.794
1044,1221.899
1045,1191.641
1046,1239.19
1047,1250.453
1048,1260.463
1049,1268.287
1050,1270.572
1051,941.742
1052,925.763
1053,750.763
1054,704.658
1055,588.43
1056,588.334
1057,574.934
1058,574.084
1059,573.417
1060,573.216
1061,710.26
1062,711.083
1063,995.725
1064,1133.614
1065,1179.157
1066,1218.556
1067,1242.075
1068,1259.745
1069,1241.597
1070,1277.666
1071,1274.001
1072,1273.298
1073,1274.366
1074,1274.133
1075,935.233
1076,916.19
1077,741.671
1078,699.709
1079,585.793
1080,585.94
1081,572.966
1082,572.574
1083,574.37
1084,576.773
1085,709.13
1086,709.321
1087,996.339
1088,1137.057
1089,1182.39
1090,1220.594
